stringtime,epochtime,datetime,Toffice_wall,Tcorridor,Theater,Toffice_reference,office_CO2_concentration,corridor_CO2_concentration,zetaW7,zetaW9,window_opening,door_opening,power_block_east,power_block_west,power_stephane,power_khadija,power_audrey,power_stagiaire,humidity,Tyanis,occupancy,detected_motions,Tout,humidity_outdoor,nebulosity,illuminance_old,illuminance_new,dT_heat,power_heater,heating_level,total_electric_power,phi_sun,total_power,calculation$total_power_nosun,actual_occupation,acoustic_pressure_dB
10/06/2015 09:00:00,1433919600000,2015-06-10 09:00:00,29.075899833333334,24.56341648888889,26.490095955555557,26.668797911111113,454.769725,431.4765611111111,0.0,0.0,0.0,0.8497658333333333,65.44136194444444,367.1578294444444,40.43200138888889,8.611663333333333,0.0,0.0,38.571440277777775,24.56341648888889,1,7,17.71,70.0,87.0,64.06279036666666,38.01131111111111,0,0,0.0,432.59919138888887,248.86732228858813,761.466513677477,512.5991913888888,0.0,0.0
10/06/2015 10:00:00,1433923200000,2015-06-10 10:00:00,27.929723222222222,24.69634848888889,26.132116513888885,26.60024875555556,515.2975388888889,448.9722888888889,0.0,0.37578972222222223,0.37578972222222223,1.0,68.37566138888889,410.4538811111111,26.054153888888887,28.807906388888888,0.0,0.0,40.51251333333333,24.69634848888889,2,3,19.11,65.0,71.0,54.4446063,30.62376666666667,0,0,0.0,478.8295425,524.9227645554961,1163.7523070554962,638.8295425,0.0,0.0
10/06/2015 11:00:00,1433926800000,2015-06-10 11:00:00,27.864798944444452,24.60208937777778,25.92179128888889,26.29480304166667,521.9339611111111,447.9325777777778,0.0,1.0,1,1.0,72.60565027777778,439.8297327777778,26.568223055555556,27.2050425,11.531341388888888,0.0,42.11599,24.60208937777778,2,4,20.48,65.0,51.0,47.829401399999995,24.544372222222222,0,0,0.0,512.4353830555556,801.9716567115111,1474.4070397670666,672.4353830555556,0.0,0.0
10/06/2015 12:00:00,1433930400000,2015-06-10 12:00:00,28.05689527777777,24.522255644444442,25.921720397222224,26.344441991666667,493.39114166666667,421.5849,0.0,0.6121913888888889,0.6121913888888889,0.6317405555555555,68.96423444444444,452.29664583333334,23.0823225,27.415158333333334,52.129915833333335,0.0,42.390344722222224,24.522255644444442,3,5,21.48,65.0,63.0,27.565710233333334,14.272176666666667,0,0,0.0,521.2608802777778,844.9804117957746,1606.2412920735524,761.2608802777778,0.0,0.0
10/06/2015 13:00:00,1433934000000,2015-06-10 13:00:00,28.90674088888888,24.814027333333335,26.375038111111113,26.78899433888889,432.4259666666667,427.7555527777778,0.0,0.0,0.0,0.7070508333333333,18.96373861111111,411.28910194444444,7.325034722222222,20.001738888888887,29.99960611111111,0.0,41.50991055555556,24.814027333333335,2,15,22.17,69.0,69.0,56.88738956666668,27.231073333333335,0,0,0.0,430.25284055555557,843.6441538795608,1433.8969944351163,590.2528405555556,0.0,0.0
10/06/2015 14:00:00,1433937600000,2015-06-10 14:00:00,28.835955499999994,25.24241386666667,26.162109583333333,26.876822044444445,472.6328611111111,412.3654027777778,0.0,0.9852261111111111,0.9852261111111111,1.0,76.02763694444444,444.1557408333333,16.6841375,25.68074111111111,4.215910277777778,0.0,42.74145083333333,25.24241386666667,2,7,22.7,64.0,49.0,82.2865127,46.885537777777785,0,0,0.0,520.1833777777778,1008.5963738505358,1688.7797516283135,680.1833777777778,0.0,0.0
10/06/2015 15:00:00,1433941200000,2015-06-10 15:00:00,29.088839222222237,25.403683333333333,26.389246800000002,27.059755155555557,452.7634027777778,398.4124111111111,0.0,1.0,1,1.0,66.38831111111111,434.79888666666665,9.719577777777777,23.665065277777778,0.0,0.0,42.07612611111111,25.403683333333333,1,4,23.34,60.0,50.0,52.91296126666667,30.627696666666665,0,0,0.0,501.1871977777778,948.197654779917,1529.3848525576948,581.1871977777778,0.0,0.0
10/06/2015 16:00:00,1433944800000,2015-06-10 16:00:00,29.30756922222222,25.543408888888894,26.56159684444445,27.210833291666663,488.00865555555555,408.55774444444444,0.0,1.0,1,1.0,111.25060472222222,428.21610555555554,27.367943333333333,12.1185525,54.17530861111111,0.0,40.3316175,25.543408888888894,2,3,24.44,62.0,45.0,40.302423600000004,22.161792222222225,0,0,0.0,539.4667102777778,849.0817074967329,1548.5484177745107,699.4667102777778,0.0,0.0
10/06/2015 17:00:00,1433948400000,2015-06-10 17:00:00,29.333643388888873,25.6411288,26.760707247222225,27.350992888888886,454.56024722222224,396.2989694444444,0.0,1.0,1,1.0,93.74659583333333,386.5366525,23.164527222222222,0.0,23.440742222222223,0.0,40.46575888888889,25.6411288,2,14,24.66,56.0,60.0,43.121480899999995,21.626065555555556,0,0,0.0,480.28324833333335,625.9938388381364,1266.2770871714697,640.2832483333334,0.0,0.0
10/06/2015 18:00:00,1433952000000,2015-06-10 18:00:00,28.97945377777779,25.821126400000004,26.931138400000002,27.175648666666667,451.4925694444444,390.0,0.0,1.0,1,1.0,95.83733916666667,405.2380186111111,24.529063611111113,25.31845861111111,0.0,0.0,40.73204166666667,25.821126400000004,2,18,25.0,57.0,62.0,29.8967882,19.768099999999997,0,0,0.0,501.07535777777775,432.8436807117085,1093.9190384894862,661.0753577777778,0.0,0.0
10/06/2015 19:00:00,1433955600000,2015-06-10 19:00:00,29.499992166666665,25.76,26.98,27.35958275555555,462.19553055555554,393.48919722222223,0.0,0.6402863888888889,0.6402863888888889,0.5545158333333333,51.83310916666667,392.57770361111113,12.674483333333333,18.175643333333333,0.0,0.0,40.859046944444444,25.76,1,13,24.34,54.0,62.0,18.030575133333336,13.596355555555554,0,0,0.0,444.4108127777778,245.34681994338513,769.757632721163,524.4108127777778,0.0,0.0
10/06/2015 20:00:00,1433959200000,2015-06-10 20:00:00,30.0,25.633074844444447,27.19957661388889,27.61,429.7911972222222,390.0,0.0,0.0,0.0,0.0,13.0,359.7766647222222,0.0,0.0,0.0,0.0,39.987538055555554,25.633074844444447,0,0,22.83,66.0,56.0,4.230040866666667,3.212688888888888,0,0,0.0,372.7766647222222,94.73003971060439,467.5067044328266,372.7766647222222,0.0,0.0
10/06/2015 21:00:00,1433962800000,2015-06-10 21:00:00,30.0,25.602422,27.29,27.65399125,405.68319722222225,390.0,0.0,0.0,0.0,0.0,13.0,357.9887725,0.0,0.0,0.0,0.0,39.962605555555555,25.602422,0,0,21.53,71.0,53.0,0.0,0.0,0,0,0.0,370.9887725,16.072929271583792,387.0617017715838,370.9887725,0.0,0.0
10/06/2015 22:00:00,1433966400000,2015-06-10 22:00:00,30.0,25.6,27.289999999999996,27.65270808333333,390.0,390.0,0.0,0.0,0.0,0.0,13.0,357.71961055555556,0.0,0.0,0.0,0.0,39.975075555555556,25.6,0,0,19.33,73.0,74.0,0.0,0.0,0,0,0.0,370.71961055555556,0.0,370.71961055555556,370.71961055555556,0.0,0.0
10/06/2015 23:00:00,1433970000000,2015-06-10 23:00:00,29.99252038888888,25.47967328888889,27.209939749999997,27.71686258333333,390.0,390.0,0.0,0.0,0.0,0.0,13.0,358.4382152777778,0.0,0.0,0.0,0.0,39.98130333333334,25.47967328888889,0,0,17.85,83.0,73.0,0.0,0.0,0,0,0.0,371.4382152777778,0.0,371.4382152777778,371.4382152777778,0.0,0.0
11/06/2015 00:00:00,1433973600000,2015-06-11 00:00:00,29.844806944444443,25.316405644444444,27.140000000000004,27.46498631111111,390.0,407.21955555555553,0.0,0.0,0.0,0.0,13.0,356.92729194444445,0.0,0.0,0.0,0.0,39.987535,25.316405644444444,0,0,17.33,79.0,94.0,0.0,0.0,0,0,0.0,369.92729194444445,0.0,369.92729194444445,369.92729194444445,0.0,0.0
11/06/2015 01:00:00,1433977200000,2015-06-11 01:00:00,29.73075216666668,25.0931828,27.039556400000002,27.41715711111111,390.0,423.52742222222224,0.0,0.0,0.0,0.0,13.0,357.29252388888887,0.0,0.0,0.0,0.0,40.062310277777776,25.0931828,0,0,16.33,89.0,91.0,0.0,0.0,0,0,0.0,370.29252388888887,0.0,370.29252388888887,370.29252388888887,0.0,0.0
11/06/2015 02:00:00,1433980800000,2015-06-11 02:00:00,29.42578266666667,24.87182342222222,26.902509644444443,27.301514716666667,390.0,432.4990722222222,0.0,0.0,0.0,0.0,13.0,354.9395852777778,0.0,0.0,0.0,0.0,40.006233611111114,24.87182342222222,0,0,16.0,90.0,73.0,0.0,0.0,0,0,0.0,367.9395852777778,0.0,367.9395852777778,367.9395852777778,0.0,0.0
11/06/2015 03:00:00,1433984400000,2015-06-11 03:00:00,29.18429461111111,24.749032844444447,26.72046716666667,27.110825022222222,390.0,451.3549388888889,0.0,0.0,0.0,0.0,13.0,359.128005,0.0,0.0,0.0,0.0,40.02491638888889,24.749032844444447,0,0,15.07,90.0,24.0,0.0,0.0,0,0,0.0,372.128005,0.0,372.128005,372.128005,0.0,0.0
11/06/2015 04:00:00,1433988000000,2015-06-11 04:00:00,28.93883661111111,24.3685584,26.52578466666667,26.89402777777778,390.0,462.74860277777776,0.0,0.0,0.0,0.0,13.0,356.15008611111114,0.0,0.0,0.0,0.0,40.36254666666667,24.3685584,0,0,14.89,90.0,27.0,0.0,0.0,0,0,0.0,369.15008611111114,0.0,369.15008611111114,369.15008611111114,0.0,0.0
11/06/2015 05:00:00,1433991600000,2015-06-11 05:00:00,28.828745277777774,24.01433448888889,26.4356052,26.743322666666664,390.0,478.32510833333333,0.0,0.0,0.0,0.0,13.0,355.62956333333335,0.0,0.0,0.0,0.0,40.950271944444445,24.01433448888889,0,0,14.85,90.0,40.0,0.0,0.0,0,0,0.0,368.62956333333335,0.0,368.62956333333335,368.62956333333335,0.0,0.0
11/06/2015 06:00:00,1433995200000,2015-06-11 06:00:00,28.79091266666666,24.060992533333334,26.35,26.62309577777778,390.0,487.0542277777778,0.0,0.0,0.0,0.0,13.0,355.97342805555553,0.0,0.0,0.0,0.0,40.98130527777778,24.060992533333334,0,0,14.78,90.0,39.0,4.4683825666666666,3.61803888888889,0,0,0.0,368.97342805555553,5.100480874763227,374.07390893031874,368.97342805555553,0.0,0.0
